0.000000	-0.099135	0.147306	0.027227	8.147692	-0.375922	-2.402629
0.005000	-0.099135	0.140324	0.029322	8.033281	-0.408610	-2.402629
0.010000	-0.098437	0.127758	0.037699	7.886181	-0.424955	-2.435318
0.015000	-0.102625	0.115890	0.045379	7.828976	-0.375922	-2.468007
0.020000	-0.105418	0.108210	0.051662	7.714565	-0.408610	-2.557901
0.025000	-0.108909	0.097738	0.056549	7.657359	-0.433127	-2.639623
0.030000	-0.110305	0.085870	0.061436	7.591982	-0.465816	-2.705001
0.035000	-0.114494	0.074700	0.060039	7.551120	-0.473988	-2.745862
0.040000	-0.111003	0.057247	0.062134	7.591982	-0.514849	-2.884790
0.045000	-0.117286	0.046775	0.061436	7.624670	-0.482160	-2.925651
0.050000	-0.121475	0.033510	0.053756	7.600154	-0.539366	-2.933823
0.055000	-0.119381	0.011868	0.041190	7.714565	-0.523021	-2.966512
0.060000	-0.120079	-0.002793	0.033510	7.730909	-0.457644	-2.933823
0.065000	-0.117286	-0.019548	0.025831	7.837148	-0.449471	-2.852101
0.070000	-0.110305	-0.043284	0.015359	8.033281	-0.424955	-2.778551
0.075000	-0.107512	-0.064926	0.006283	8.131347	-0.400438	-2.713173
0.080000	-0.098437	-0.081681	0.000698	8.253930	-0.367749	-2.655968
0.085000	-0.089361	-0.093550	-0.001396	8.351997	-0.416783	-2.623279
0.090000	-0.078191	-0.099135	-0.003491	8.294791	-0.351405	-2.557901
0.095000	-0.071209	-0.107512	0.001396	8.213069	-0.384094	-2.606934
0.100000	-0.065624	-0.121475	0.009774	8.245758	-0.408610	-2.672312
0.105000	-0.062832	-0.130551	0.018151	8.115003	-0.441299	-2.778551
0.110000	-0.058643	-0.131947	0.031416	8.025109	-0.490333	-2.884790
0.115000	-0.048171	-0.146608	0.047473	8.000592	-0.449471	-2.982856
0.120000	-0.040492	-0.160570	0.064228	7.959731	-0.433127	-3.089095
0.125000	-0.040492	-0.167552	0.073304	7.976075	-0.408610	-3.187161
0.130000	-0.043284	-0.176627	0.076794	7.984248	-0.408610	-3.244367
0.135000	-0.044680	-0.189194	0.082380	7.967903	-0.367749	-3.268883
0.140000	-0.045379	-0.201062	0.074002	8.016936	-0.539366	-3.211678
0.145000	-0.039095	-0.213628	0.071209	8.164036	-0.572055	-3.195333
0.150000	-0.032812	-0.222704	0.064926	8.302964	-0.612916	-3.170817
0.155000	-0.020246	-0.230383	0.060737	8.466408	-0.678293	-3.105439
0.160000	-0.010472	-0.232478	0.061436	8.629852	-0.596571	-3.089095
0.165000	-0.001396	-0.233176	0.064228	8.695230	-0.490333	-3.048234
0.170000	0.007679	-0.227591	0.064926	8.744263	-0.465816	-3.031889
0.175000	0.007679	-0.226893	0.069115	8.760607	-0.375922	-3.048234
0.180000	0.007679	-0.219911	0.081681	8.687057	-0.359577	-3.072750
0.185000	0.004887	-0.216421	0.089361	8.638024	-0.351405	-3.129956
0.190000	-0.002094	-0.218515	0.101229	8.621680	-0.212477	-3.178989
